,Title,Year,Rating,URL
0,The Shawshank Redemption,1994,9.2,https://www.imdb.com/title/tt0111161/
1,The Godfather,1972,9.1,https://www.imdb.com/title/tt0068646/
2,The Godfather: Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
3,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/
4,12 Angry Men,1957,8.9,https://www.imdb.com/title/tt0050083/
5,Schindler's List,1993,8.9,https://www.imdb.com/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com/title/tt0167260/
7,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/
8,"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com/title/tt0060196/
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com/title/tt0120737/
10,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
11,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/
12,Inception,2010,8.7,https://www.imdb.com/title/tt1375666/
13,The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com/title/tt0167261/
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
15,The Matrix,1999,8.6,https://www.imdb.com/title/tt0133093/
16,Goodfellas,1990,8.6,https://www.imdb.com/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/
18,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
19,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/
20,La vita è bella,1997,8.6,https://www.imdb.com/title/tt0118799/
21,Cidade de Deus,2002,8.6,https://www.imdb.com/title/tt0317248/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/
24,Star Wars,1977,8.6,https://www.imdb.com/title/tt0076759/
25,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/
26,The Green Mile,1999,8.5,https://www.imdb.com/title/tt0120689/
27,Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com/title/tt0245429/
28,Interstellar,2014,8.5,https://www.imdb.com/title/tt0816692/
29,Gisaengchung,2019,8.5,https://www.imdb.com/title/tt6751668/
30,Léon,1994,8.5,https://www.imdb.com/title/tt0110413/
31,Seppuku,1962,8.5,https://www.imdb.com/title/tt0056058/
32,The Usual Suspects,1995,8.5,https://www.imdb.com/title/tt0114814/
33,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
34,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/
35,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/
36,Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com/title/tt0103064/
37,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/
38,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/
39,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
40,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/
41,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/
42,City Lights,1931,8.5,https://www.imdb.com/title/tt0021749/
43,The Intouchables,2011,8.5,https://www.imdb.com/title/tt1675434/
44,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/
45,Hotaru no haka,1988,8.5,https://www.imdb.com/title/tt0095327/
46,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/
47,Once Upon a Time in the West,1968,8.4,https://www.imdb.com/title/tt0064116/
48,Casablanca,1942,8.4,https://www.imdb.com/title/tt0034583/
49,Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com/title/tt0095765/
50,Rear Window,1954,8.4,https://www.imdb.com/title/tt0047396/
51,Alien,1979,8.4,https://www.imdb.com/title/tt0078748/
52,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/
53,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/
54,The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/
55,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/
56,Django Unchained,2012,8.4,https://www.imdb.com/title/tt1853728/
57,The Lives of Others,2006,8.4,https://www.imdb.com/title/tt0405094/
58,Hamilton,2020,8.4,https://www.imdb.com/title/tt8503618/
59,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/
60,Joker,2019,8.4,https://www.imdb.com/title/tt7286456/
61,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/
62,The Shining,1980,8.4,https://www.imdb.com/title/tt0081505/
63,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/
64,Sunset Blvd.,1950,8.4,https://www.imdb.com/title/tt0043014/
65,Witness for the Prosecution,1957,8.4,https://www.imdb.com/title/tt0051201/
66,Oldeuboi,2003,8.3,https://www.imdb.com/title/tt0364569/
67,Spider-Man: Into the Spider-Verse,2018,8.3,https://www.imdb.com/title/tt4633694/
68,Mononoke-hime,1997,8.3,https://www.imdb.com/title/tt0119698/
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/
70,The Dark Knight Rises,2012,8.3,https://www.imdb.com/title/tt1345836/
71,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/
72,Kimi no na wa.,2016,8.3,https://www.imdb.com/title/tt5311514/
73,Aliens,1986,8.3,https://www.imdb.com/title/tt0090605/
74,Coco,2017,8.3,https://www.imdb.com/title/tt2380307/
75,Avengers: Endgame,2019,8.3,https://www.imdb.com/title/tt4154796/
76,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/
77,Capharnaüm,2018,8.3,https://www.imdb.com/title/tt8267604/
78,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/
79,Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/
80,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/
81,3 Idiots,2009,8.3,https://www.imdb.com/title/tt1187043/
82,Tengoku to jigoku,1963,8.3,https://www.imdb.com/title/tt0057565/
83,Amadeus,1984,8.3,https://www.imdb.com/title/tt0086879/
84,Inglourious Basterds,2009,8.3,https://www.imdb.com/title/tt0361748/
85,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/
86,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/
87,Taare Zameen Par,2007,8.3,https://www.imdb.com/title/tt0986264/
88,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/
89,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/
90,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/
91,Vertigo,1958,8.3,https://www.imdb.com/title/tt0052357/
92,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/
93,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/
94,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/
95,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/
96,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/
97,Singin' in the Rain,1952,8.2,https://www.imdb.com/title/tt0045152/
98,Ladri di biciclette,1948,8.2,https://www.imdb.com/title/tt0040522/
99,Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/
100,The Kid,1921,8.2,https://www.imdb.com/title/tt0012349/
101,Idi i smotri,1985,8.2,https://www.imdb.com/title/tt0091251/
102,Snatch,2000,8.2,https://www.imdb.com/title/tt0208092/
103,North by Northwest,1959,8.2,https://www.imdb.com/title/tt0053125/
104,A Clockwork Orange,1971,8.2,https://www.imdb.com/title/tt0066921/
105,Ikiru,1952,8.2,https://www.imdb.com/title/tt0044741/
106,Scarface,1983,8.2,https://www.imdb.com/title/tt0086250/
107,1917,2019,8.2,https://www.imdb.com/title/tt8579674/
108,Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/
109,Incendies,2010,8.2,https://www.imdb.com/title/tt1255953/
110,Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com/title/tt1832382/
111,Lawrence of Arabia,1962,8.2,https://www.imdb.com/title/tt0056172/
112,Toy Story 3,2010,8.2,https://www.imdb.com/title/tt0435761/
113,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/
114,Amélie,2001,8.2,https://www.imdb.com/title/tt0211915/
115,Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/
116,The Apartment,1960,8.2,https://www.imdb.com/title/tt0053604/
117,Per qualche dollaro in più,1965,8.2,https://www.imdb.com/title/tt0059578/
118,Double Indemnity,1944,8.2,https://www.imdb.com/title/tt0036775/
119,To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/
120,Up,2009,8.2,https://www.imdb.com/title/tt1049413/
121,Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/
122,Heat,1995,8.2,https://www.imdb.com/title/tt0113277/
123,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/
124,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/
125,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/
126,Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/
127,Yôjinbô,1961,8.2,https://www.imdb.com/title/tt0055630/
128,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/
129,Rashômon,1950,8.2,https://www.imdb.com/title/tt0042876/
130,Der Untergang,2004,8.2,https://www.imdb.com/title/tt0363163/
131,Bacheha-Ye aseman,1997,8.2,https://www.imdb.com/title/tt0118849/
132,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/
133,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/
134,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/
135,Hauru no ugoku shiro,2004,8.2,https://www.imdb.com/title/tt0347149/
136,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/
137,Casino,1995,8.2,https://www.imdb.com/title/tt0112641/
138,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/
139,The Wolf of Wall Street,2013,8.2,https://www.imdb.com/title/tt0993846/
140,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/
141,Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/
142,There Will Be Blood,2007,8.1,https://www.imdb.com/title/tt0469494/
143,El secreto de sus ojos,2009,8.1,https://www.imdb.com/title/tt1305806/
144,"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com/title/tt0120735/
145,Judgment at Nuremberg,1961,8.1,https://www.imdb.com/title/tt0055031/
146,Tonari no Totoro,1988,8.1,https://www.imdb.com/title/tt0096283/
147,Raging Bull,1980,8.1,https://www.imdb.com/title/tt0081398/
148,The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com/title/tt0040897/
149,Dial M for Murder,1954,8.1,https://www.imdb.com/title/tt0046912/
150,"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com/title/tt5027774/
151,Shutter Island,2010,8.1,https://www.imdb.com/title/tt1130884/
152,The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/
153,Chinatown,1974,8.1,https://www.imdb.com/title/tt0071315/
154,Babam ve Oglum,2005,8.1,https://www.imdb.com/title/tt0476735/
155,No Country for Old Men,2007,8.1,https://www.imdb.com/title/tt0477348/
156,V for Vendetta,2005,8.1,https://www.imdb.com/title/tt0434409/
157,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/
158,The Elephant Man,1980,8.1,https://www.imdb.com/title/tt0080678/
159,The Thing,1982,8.1,https://www.imdb.com/title/tt0084787/
160,Det sjunde inseglet,1957,8.1,https://www.imdb.com/title/tt0050976/
161,Warrior,2011,8.1,https://www.imdb.com/title/tt1291584/
162,The Sixth Sense,1999,8.1,https://www.imdb.com/title/tt0167404/
163,Jurassic Park,1993,8.1,https://www.imdb.com/title/tt0107290/
164,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/
165,Klaus,2019,8.1,https://www.imdb.com/title/tt4729430/
166,The Truman Show,1998,8.1,https://www.imdb.com/title/tt0120382/
167,Gone with the Wind,1939,8.1,https://www.imdb.com/title/tt0031381/
168,Finding Nemo,2003,8.1,https://www.imdb.com/title/tt0266543/
169,Smultronstället,1957,8.1,https://www.imdb.com/title/tt0050986/
170,Stalker,1979,8.1,https://www.imdb.com/title/tt0079944/
171,Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/
172,Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com/title/tt0266697/
173,Salinui chueok,2003,8.1,https://www.imdb.com/title/tt0353969/
174,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/
175,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/
176,Room,2015,8.1,https://www.imdb.com/title/tt3170832/
177,Relatos salvajes,2014,8.1,https://www.imdb.com/title/tt3011894/
178,Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/
179,Tôkyô monogatari,1953,8.1,https://www.imdb.com/title/tt0046438/
180,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/
181,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/
182,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/
183,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/
184,Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/
185,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/
186,Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/
187,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/
188,Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/
189,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/
190,Ratsasan,2018,8.1,https://www.imdb.com/title/tt7060344/
191,Prisoners,2013,8.1,https://www.imdb.com/title/tt1392214/
192,Persona,1966,8.1,https://www.imdb.com/title/tt0060827/
193,Andhadhun,2018,8.1,https://www.imdb.com/title/tt8108198/
194,Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/
195,The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/
196,Anand,1971,8.1,https://www.imdb.com/title/tt0066763/
197,To Be or Not to Be,1942,8.1,https://www.imdb.com/title/tt0035446/
198,The General,1926,8.1,https://www.imdb.com/title/tt0017925/
199,Höstsonaten,1978,8.1,https://www.imdb.com/title/tt0077711/
200,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/
201,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/
202,Ford v Ferrari,2019,8.1,https://www.imdb.com/title/tt1950186/
203,Eskiya,1996,8.1,https://www.imdb.com/title/tt0116231/
204,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/
205,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/
206,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/
207,Dead Poets Society,1989,8.1,https://www.imdb.com/title/tt0097165/
208,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/
209,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/
210,Network,1976,8.1,https://www.imdb.com/title/tt0074958/
211,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com/title/tt1201607/
212,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/
213,Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/
214,Cool Hand Luke,1967,8.1,https://www.imdb.com/title/tt0061512/
215,Ah-ga-ssi,2016,8.1,https://www.imdb.com/title/tt4016934/
216,Logan,2017,8.0,https://www.imdb.com/title/tt3315342/
217,Platoon,1986,8.0,https://www.imdb.com/title/tt0091763/
218,Soul,2020,8.0,https://www.imdb.com/title/tt2948372/
219,Into the Wild,2007,8.0,https://www.imdb.com/title/tt0758758/
220,Rush,2013,8.0,https://www.imdb.com/title/tt1979320/
221,Le salaire de la peur,1953,8.0,https://www.imdb.com/title/tt0046268/
222,Life of Brian,1979,8.0,https://www.imdb.com/title/tt0079470/
223,La haine,1995,8.0,https://www.imdb.com/title/tt0113247/
224,Les quatre cents coups,1959,8.0,https://www.imdb.com/title/tt0053198/
225,La passion de Jeanne d'Arc,1928,8.0,https://www.imdb.com/title/tt0019254/
226,Spotlight,2015,8.0,https://www.imdb.com/title/tt1895587/
227,Hotel Rwanda,2004,8.0,https://www.imdb.com/title/tt0395169/
228,Amores perros,2000,8.0,https://www.imdb.com/title/tt0245712/
229,Gangs of Wasseypur,2012,8.0,https://www.imdb.com/title/tt1954470/
230,Andrei Rublev,1966,8.0,https://www.imdb.com/title/tt0060107/
231,Rocky,1976,8.0,https://www.imdb.com/title/tt0075148/
232,"Monsters, Inc.",2001,8.0,https://www.imdb.com/title/tt0198781/
233,Kaze no tani no Naushika,1984,8.0,https://www.imdb.com/title/tt0087544/
234,Rebecca,1940,8.0,https://www.imdb.com/title/tt0032976/
235,Dom za vesanje,1988,8.0,https://www.imdb.com/title/tt0097223/
236,Before Sunset,2004,8.0,https://www.imdb.com/title/tt0381681/
237,Rang De Basanti,2006,8.0,https://www.imdb.com/title/tt0405508/
238,Du rififi chez les hommes,1955,8.0,https://www.imdb.com/title/tt0048021/
239,Fa yeung nin wah,2000,8.0,https://www.imdb.com/title/tt0118694/
240,"Paris, Texas",1984,8.0,https://www.imdb.com/title/tt0087884/
241,Drishyam,2013,8.0,https://www.imdb.com/title/tt3417422/
242,It Happened One Night,1934,8.0,https://www.imdb.com/title/tt0025316/
243,Portrait de la jeune fille en feu,2019,8.0,https://www.imdb.com/title/tt8613070/
244,Drishyam,2015,8.0,https://www.imdb.com/title/tt4430212/
245,Contratiempo,2016,8.0,https://www.imdb.com/title/tt4857264/
246,La battaglia di Algeri,1966,8.0,https://www.imdb.com/title/tt0058946/
247,Koe no katachi,2016,8.0,https://www.imdb.com/title/tt5323662/
248,The Help,2011,8.0,https://www.imdb.com/title/tt1454029/
249,Mandariinid,2013,8.0,https://www.imdb.com/title/tt2991224/
